geslacht
lftcat2
lftcat3
lftcat6
lftcat8
MMWSA205
MMOWA201b
KwintielInk
herkomst_3
AGHHA202
huishouden
stadsdeel
Centrum
West
NwWest
Zuid
Oost
Noord
Zuidoost
wijk22
CentrumWest
CentrumOost
Westerpark
BosLommer
OudWestBaarsjes
GeuzenveldSlotermeer
Osdorp
AkerSloten
Slotervaart
OudZuid
BuitenveldertZuidas
PijpRivierenbuurt
OudOost
OostHavengebiedIndischebuurt
Watergraafsmeer
ZeeburgereilandIJburg
NoordWest
OudNoord
NoordOost
BullewijkBijlmerCentrum
BijlmerOost
GaasperdamDriemond
